Submission Date,Property ID,Built,Street Address,SQFT,Auditor,Auditor Phone,Audit Company,Audit Date,Window Type,Window Shading Type,Attic Insulation Type,Average R Value,Open Chase,Cooling System,Condenser Mfg Date ,EER ,Heating system,Heat Fuel Type,Furnace Mfg Date ,AFUE ,Duct Leakage (CFM),Duct  Leakage  (%),Duct System Type,Power Partner Participant,Cooling System2,Condenser Mfg Date 2,EER 2,Heating System2,Heat Fuel Type2,Furnace Mfg Date 2,AFUE 2,Pressure Leakage 2 (CFM),Leakage 2 (%),Duct System 2  Type,Door Weather Stripped,Attic Hatches Weather Stripped,Plumbing Penetrations Sealed,Water Heater Type,Toilet Type
02/16/2016 12:00:00 AM,188321,1950," 1706   Riverview ST Unit A Austin, TX, 78702",200,Kurt Kunkle,(512) 879-3567,Austin Auditors,02/16/2016 12:00:00 AM,Single Pane Windows Installed ,"Awnings,  providing shading. ",No Access,0,No chases in residence.,Window Unit,,8,Wall Furnace,Gas,Unknown,80,N/A,N/A,No duct system,N/A,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,No weather-stripping,Not checked,Plumbing penetration sealing needed,NaturalGas,1 High efficiency toilet(s)
03/02/2016 12:00:00 AM,110056,1979," 1712 W 11th ST Unit B Austin, TX, 78703",300,Kurt Kunkle,(512) 879-3567,Austin Auditors,03/02/2016 12:00:00 AM,Single Pane Windows Installed ,,No Access,0,No chases in residence.,Window Unit,,8,None,Electric,Unknown,60,N/A,N/A,No duct system,N/A,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,No weather-stripping,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
03/29/2016 12:00:00 AM,215835,1981," 4401   Speedway   Unit 100 Austin, TX, 78751",346,Quincy Bishop,(512) 730-9652,Austin's ECAD Specialist,03/29/2016 12:00:00 AM,Single Pane Windows Installed ,Awnings providing shading. ,No Access,0,No chases in residence.,CentralAir,2003,9,Central,Gas,90-05,80, CFM,> 80 %,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetrations are sealed,NaturalGas,1 High efficiency toilet(s)
08/12/2016 12:00:00 AM,544622,1981," 2107   Rio Grande ST Unit 6 Austin, TX, 78705",376,Chad Roesch,(512) 636-9728,A-1 Energy Audits,08/12/2016 12:00:00 AM,Single Pane Windows Installed ,other buildings providing shading. ,No Access,0,No chases in residence.,CentralAir,2003,9,Heat Pump,Electric,90-05,60,119 CFM,19.80%,Grey Flex  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,No weather-stripping,Not checked,Plumbing penetration sealing needed,Electric,1 Low efficiency toilet(s)
09/01/2016 12:00:00 AM,286056,1984," 1840   Burton DR Unit 222 Austin, TX, 78741",378,Jay Hill - austinaes@yahoo.com,(512) 565-2700,AES ,09/01/2016 12:00:00 AM,Single Pane Windows Installed ,trees providing shading. ,No Access,0,No chases in residence.,CentralAir,,8,Central,Electric,Unknown,60, CFM,> 80 %,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,No weather-stripping,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
10/25/2016 12:00:00 AM,286072,1984," 1840   Burton DR Unit 190 Austin, TX, 78741",378,Jay Hill - austinaes@yahoo.com,(512) 565-2700,AES ,10/25/2016 12:00:00 AM,Single Pane Windows Installed ,,No Access,0,No chases in residence.,CentralAir,2008,11.5,Central,Electric,Unknown,60,252 CFM,42.00%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,No weather-stripping,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
09/01/2016 12:00:00 AM,286122,1984," 1840   Burton DR Unit 184 Austin, TX, 78741",378,Jay Hill - austinaes@yahoo.com,(512) 565-2700,AES ,09/01/2016 12:00:00 AM,Single Pane Windows Installed ,trees providing shading. ,No Access,0,No chases in residence.,CentralAir,2014,11.5,Central,Electric,Unknown,60,301 CFM,50.20%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,No weather-stripping,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
12/01/2015 12:00:00 AM,286137,1984," 1840   Burton DR Unit 141 Austin, TX, 78741",378,Sam Bruce,(512) 467-0005,Green Zone Home,12/01/2015 12:00:00 AM,Single Pane Windows Installed ,Awnings providing shading. ,No Access,0,No chases in residence.,CentralAir,2014,11.5,Central,Electric,post-06,60,170 CFM,28.30%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetrations are sealed,Electric,1 Low efficiency toilet(s)
02/18/2016 12:00:00 AM,545958,1981," 4409   Guadalupe ST Unit 7 Austin, TX, 78751",382,Kurt Kunkle,(512) 879-3567,Austin Auditors,02/18/2016 12:00:00 AM,Single Pane Windows Installed ,"Awnings, Trees providing shading. ",LF- Fiberglass & Insulsafe,17.6,No chases in residence.,HeatPump,2012,11.5,Heat Pump,Electric,post-06,60,211 CFM,35.20%,Grey Flex  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetrations are sealed,Electric,Unknown
12/10/2015 12:00:00 AM,289095,1983," 2500   Burleson RD Unit 607 Austin, TX, 78741",389,Kurt Kunkle,(512) 879-3567,Austin Auditors,12/10/2015 12:00:00 AM,Single Pane Windows Installed ,Trees providing shading. ,No Insulation,0,No chases in residence.,HeatPump,,8,Heat Pump,Electric,Unknown,60,170 CFM,28.30%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,No weather-stripping,Not checked,Plumbing penetration sealing needed,Electric,1 Low efficiency toilet(s)
